"location_name","location_name_alternative","company_operator","company_owner","operational_status","type","storage_capacity","processing_capacity","transportation_capacity","products","access_pipeline","access_rail","access_truck","acces_water","latitude","longitude","count_truck_bays","rack_capacity","pipeline_connections","count_tank","ngl_lpg_storage","butane_blending","biodiesel_blending","address","city","state","zip_code","phone_number","cell_number","fax_number","location_contact_name_1","location_contact_role_1","location_contact_phone_number_1","location_contact_cell_number_1","location_contact_email_address_1","location_id_operator","location_id_rightangle","location_id_sap","strategy_notes","familiarity_index","tri_facility_id"
"Ardmore",,"Valero Energy Corp","Valero Refining Co Oklahoma","Operational","Refinery",,"86,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arkansas City",,"Kaneb Pipeline Co","Kaneb Pipeline Co","Operational","Station",,,,,,,,,37.0495,-97.0229,,,"NuStar East",,,,,"1400 South M St","Arkansas City","KS",67005,,,,,,,,,,,,,,
"Bettendorf MPL",,"Magellan Pipeline Company, LP","Magellan Midstream Partners LP","Operational","Terminal",,,,,,,,,41.5321,-90.4695,,,"Magellan",,,,,,"Bettendorf",,,,,,,,,,,347,"BETTENDORF IA MMP TTERM","03AH",,,
"Bettendorf BPL",,"Buckeye Terminals, LLC","Buckeye Partners, LP","Operational","Terminal",237400,,,"Gasoline, ULSD, Ethanol","Yes","No","Yes","No",41.5253,-90.4894,,,,,,,,"75 31st Street","Bettendorf","IA",52722,"(563) 529-4030",,,,,,,,347,"BETTENDORF IA MMP TTERM","03AH",,,
"Borger",,"Phillips 66 Company","Phillips 66 Company","Operational","Refinery",,"146,000",,,,,,,35.6983,-101.3623,,,"Gold Line",,,,,,,,,,,,,,,,,,,,,,
"Canton",,"Marathon Petroleum Corp","Marathon Petroleum Co LP","Operational","Refinery",,93000,,,,,,,,,,,,,,,,,,"OH",,,,,,,,,,,,,,,
"Carthage",,"Magellan Pipeline Company, LP","Magellan Midstream Partners LP","Operational","Terminal",100000,0,0,"Ethanol, Propane, Refined Products","In","No","Out","No",37.3136,-94.3043,,,"Magellan",,,,,"18195 C.R 138 ","Carthage","MO",64755,"(417) 394-2700 ",,"(417) 394-3140 ",,,,,,227,"JASPER MO MMP TTERM","03A8","Backup for Mount Vernon",,
"Catlettsburg",,"Marathon Petroleum Corp","Marathon Petroleum Co LP","Operational","Refinery",,273000,,,,,,,,,,,,,,,,,,"KY",,,,,,,,,,,,,,,
"Coffeyville",,"CVR Energy","Coffeyville Resources Refining & Marketing, LLC","Operational","Refinery",,"115,000",,,,,,,37.0476,-95.6061,,,"Magellan",,,,,"400 N Linden","Coffeyville","KS",67337,"(620) 251-4000",,,"John Ditmore","Puiblic Contact",,,,,,,,,"67337FRMLNNORTH"
"Columbia",,"Magellan Pipeline Company, LP","Magellan Midstream Partners LP","Operational","Terminal",300000,0,0,"Biodiesel, Ethanol, Refined Products","In","No","Out","No",38.8862,-92.2655,,,"Magellan",,,,,"5531 Hwy 63 South ","Columbia","MO",65201,"(573) 443-1619 ",,"(573) 449-1192 ",,,,,,204,"COLUMBIA MO MMP TTERM","034T","Backup for Jefferson City",,
