path_id,grade_id,contracted_volume,nominated_min,nominated_max,tariff_min,tariff_max,start,end
1,3,,,100000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
1,8,,,10000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
1,43,,,225000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
2,3,,,589000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
2,5,,,200000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
3,8,,,57000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
3,25,,,50000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
3,42,,,482000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
3,43,,,480000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
4,3,,,75000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
4,43,,,75000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
5,3,,,764000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
5,5,,,200000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
5,8,,,67000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
5,25,,,50000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
5,42,,,482000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
5,43,,,780000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
9,3,,,75000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
9,8,,,42000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
9,9,,,336000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
10,3,,,300000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
10,5,,,16500,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
10,8,,,24000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
10,43,,,422500,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
11,3,,,405000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
11,5,,,120000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
11,8,,,165000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
11,9,,,600000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
13,3,,,461000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
13,5,,,200000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
13,8,,,90000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
13,25,,,50000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
13,42,,,232000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
13,43,,,890000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
14,3,,,280000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
14,5,,,0,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
14,8,,,0,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
14,42,,,300000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
14,43,,,50000,,,2017-06-01T00:00:00Z,2017-06-30T00:00:00Z
1,3,,,105000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
1,8,,,10000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
1,43,,,221000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
2,3,,,725000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
2,5,,,101000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
3,8,,,57000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
3,25,,,50000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
3,42,,,174000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
3,43,,,498000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
4,3,,,75000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
4,5,,,44000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
4,43,,,75000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
5,3,,,905000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
5,5,,,145000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
5,8,,,67000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
5,25,,,50000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
5,42,,,174000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
5,43,,,794000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
13,3,,,362000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
13,5,,,145000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
13,8,,,90000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
13,25,,,50000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
13,42,,,174000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
13,43,,,734000,,,2017-07-01T00:00:00Z,2017-07-30T00:00:00Z
