"id","created_at","updated_at","terminal_id","grade_id","day","opening_stock","volume_in","volume_out","closing_stock","receipts","shipments","rack_liftings","transfers_in","transfers_out","exchange_in","exchange_out","regrade_in","regrade_out","gain_loss"
1,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",8,8,"2016-01-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",8,9,"2016-01-01",581,0,0,581,0,0,0,0,0,0,0,0,0,0
3,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",9,9,"2016-01-01",18300,22208,11,40496,22208,0,0,0,0,0,0,0,0,-11
4,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",8,14,"2016-01-01",402,0,0,402,0,0,0,0,0,0,0,0,0,0
5,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",9,8,"2016-01-01",21008,0,0,21007,0,0,0,0,0,0,0,0,0,0
6,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",9,14,"2016-01-01",-74545,19114,9,-55441,19114,0,0,0,0,0,0,0,0,-9
7,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",20,8,"2016-01-01",118,0,0,118,0,0,0,0,0,0,0,0,0,0
8,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",20,9,"2016-01-01",1658,0,0,1658,0,0,0,0,0,0,0,0,0,0
9,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",21,8,"2016-01-01",17089,0,1083,16006,0,0,1083,0,0,0,0,0,0,0
10,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",20,14,"2016-01-01",-290,0,0,-290,0,0,0,0,0,0,0,0,0,0
11,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",21,9,"2016-01-01",47928,13394,9616,51706,13394,0,9616,0,0,0,0,0,0,0
12,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",21,14,"2016-01-01",35458,4953,1827,38584,4953,0,1819,0,0,0,0,0,0,-8
13,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",23,8,"2016-01-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",23,9,"2016-01-01",120079,3,0,120081,0,0,0,0,0,0,0,0,0,3
15,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",23,14,"2016-01-01",1103,0,0,1103,0,0,0,0,0,0,0,0,0,0
16,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",28,9,"2016-01-01",27480,35,5288,22227,0,0,5288,0,0,0,0,0,0,35
17,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",28,8,"2016-01-01",7287,0,382,6905,0,0,373,0,0,0,0,0,0,-9
18,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",28,14,"2016-01-01",13770,0,1424,12346,0,0,1424,0,0,0,0,0,0,0
19,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",30,8,"2016-01-01",44629,0,980,43649,0,0,969,0,0,0,0,0,0,-11
20,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",30,9,"2016-01-01",209776,64913,20017,254672,64913,0,19980,0,0,0,0,0,0,-37
21,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",30,14,"2016-01-01",113415,0,7526,105889,0,0,7513,0,0,0,0,0,0,-13
22,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",32,9,"2016-01-01",58966,7795,1685,65076,7789,0,1685,0,0,0,0,0,0,6
23,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",32,14,"2016-01-01",35742,4992,118,40616,4992,0,85,0,0,0,0,0,0,-33
24,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",32,8,"2016-01-01",9020,11,169,8863,0,0,169,0,0,0,0,0,0,11
25,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",37,8,"2016-01-01",342,0,0,342,0,0,0,0,0,0,0,0,0,0
26,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",37,14,"2016-01-01",817,0,0,817,0,0,0,0,0,0,0,0,0,0
27,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",37,9,"2016-01-01",787,0,0,787,0,0,0,0,0,0,0,0,0,0
28,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",38,8,"2016-01-01",3615,0,168,3447,0,0,168,0,0,0,0,0,0,0
29,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",38,9,"2016-01-01",3045,0,280,2765,0,0,280,0,0,0,0,0,0,0
30,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",38,14,"2016-01-01",-2914,0,0,-2914,0,0,0,0,0,0,0,0,0,0
31,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",40,8,"2016-01-01",18434,4046,3174,19306,4046,0,3174,0,0,0,0,0,0,0
32,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",40,9,"2016-01-01",44258,31160,11103,64315,31141,0,11103,0,0,0,0,0,0,19
33,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",44,9,"2016-01-01",43276,98290,64634,76932,98290,64434,0,0,0,0,0,0,0,-200
34,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",44,8,"2016-01-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",44,14,"2016-01-01",144639,1317,0,145956,1266,0,0,0,0,0,0,0,0,51
36,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",47,8,"2016-01-01",541,0,14,526,0,0,14,0,0,0,0,0,0,0
37,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",47,9,"2016-01-01",1379,0,116,1262,0,0,116,0,0,0,0,0,0,0
38,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",47,14,"2016-01-01",471,0,0,471,0,0,0,0,0,0,0,0,0,0
39,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",59,9,"2016-01-01",124566,82471,17939,189098,82457,5627,12312,0,0,0,0,0,0,14
40,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",40,14,"2016-01-01",86481,0,9045,77436,0,0,9042,0,0,0,0,0,0,-3
41,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",59,8,"2016-01-01",8172,6,477,7701,0,0,477,0,0,0,0,0,0,6
42,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",59,14,"2016-01-01",147414,41434,96406,92442,41434,94844,1530,0,0,0,0,0,0,-32
43,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",8,8,"2016-01-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",8,9,"2016-01-02",581,0,131,450,0,0,131,0,0,0,0,0,0,0
45,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",8,14,"2016-01-02",402,0,48,354,0,0,48,0,0,0,0,0,0,0
46,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",9,9,"2016-01-02",40497,7929,4,48421,7929,0,0,0,0,0,0,0,0,-4
47,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",9,14,"2016-01-02",-55441,24992,12,-30462,24992,0,0,0,0,0,0,0,0,-12
48,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",9,8,"2016-01-02",21008,0,0,21007,0,0,0,0,0,0,0,0,0,0
49,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",20,8,"2016-01-02",118,0,0,118,0,0,0,0,0,0,0,0,0,0
50,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",20,9,"2016-01-02",1658,0,179,1479,0,0,179,0,0,0,0,0,0,0
51,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",20,14,"2016-01-02",-290,0,60,-350,0,0,60,0,0,0,0,0,0,0
52,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",21,8,"2016-01-02",16006,2,840,15168,0,0,840,0,0,0,0,0,0,2
53,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",21,9,"2016-01-02",51706,9596,9311,51990,9596,0,9298,0,0,0,0,0,0,-13
54,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",21,14,"2016-01-02",38584,7,1467,37124,0,0,1467,0,0,0,0,0,0,7
55,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",23,9,"2016-01-02",120082,31822,0,151903,31822,0,0,0,0,0,0,0,0,0
56,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",23,14,"2016-01-02",1103,0,0,1103,0,0,0,0,0,0,0,0,0,0
57,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",28,9,"2016-01-02",22227,0,4412,17815,0,0,4381,0,0,0,0,0,0,-31
58,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",28,8,"2016-01-02",6905,13,153,6765,0,0,153,0,0,0,0,0,0,13
59,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",28,14,"2016-01-02",12346,0,1717,10629,0,0,1709,0,0,0,0,0,0,-8
60,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",23,8,"2016-01-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",30,8,"2016-01-02",43649,10,1190,42469,0,0,1190,0,0,0,0,0,0,10
62,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",30,9,"2016-01-02",254672,326,19522,235476,314,0,19522,0,0,0,0,0,0,12
63,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",32,9,"2016-01-02",65076,267,3908,61435,0,0,3908,0,0,0,0,0,0,267
64,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",30,14,"2016-01-02",105889,12121,6568,111442,12121,0,6429,0,0,0,0,0,0,-139
65,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",32,8,"2016-01-02",8862,139,585,8417,0,0,585,0,0,0,0,0,0,139
66,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",32,14,"2016-01-02",40616,0,310,40306,0,0,295,0,0,0,0,0,0,-15
67,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",37,9,"2016-01-02",787,0,0,787,0,0,0,0,0,0,0,0,0,0
68,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",37,14,"2016-01-02",817,0,0,817,0,0,0,0,0,0,0,0,0,0
69,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",38,8,"2016-01-02",3447,0,177,3270,0,0,177,0,0,0,0,0,0,0
70,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",37,8,"2016-01-02",342,0,0,342,0,0,0,0,0,0,0,0,0,0
71,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",38,9,"2016-01-02",2765,0,269,2496,0,0,269,0,0,0,0,0,0,0
72,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",38,14,"2016-01-02",-2914,0,0,-2914,0,0,0,0,0,0,0,0,0,0
73,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",40,8,"2016-01-02",19306,11964,3387,27883,11938,0,3387,0,0,0,0,0,0,26
74,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",40,9,"2016-01-02",64315,38,13353,51001,0,0,13353,0,0,0,0,0,0,38
75,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",40,14,"2016-01-02",77436,30401,7576,100261,30401,0,7576,0,0,0,0,0,0,0
76,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",44,9,"2016-01-02",76932,51637,1870,126699,51582,1870,0,0,0,0,0,0,0,55
77,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",44,14,"2016-01-02",145956,66558,31759,180755,66558,31703,0,0,0,0,0,0,0,-56
78,"2017-06-05 00:00:00+00","2017-06-05 00:00:00+00",47,8,"2016-01-02",527,0,0,526,0,0,0,0,0,0,0,0,0,0
