1	{{-96.0086848039792,35.9793899639485},{-96.008754,35.979329},{-96.031352,35.953509},{-96.002481,35.625285},{-96.106129,35.444483},{-96.215516,35.207038},{-96.344437,34.971416},{-96.428697,34.884626},{-96.4239,34.738814},{-96.326416,34.117349},{-96.260917,33.771698},{-96.24716,33.58473},{-96.254192,33.357006},{-96.173981,32.84022},{-96.07449,32.607582},{-95.875935,32.009388},{-95.766823,31.840337},{-95.72518,31.740132},{-95.666635,31.416577},{-95.544242,30.946916},{-95.495131,30.843937},{-95.460768,30.650475},{-95.399105,30.41637},{-95.31874,30.183932},{-95.281034,30.021364},{-95.220027,29.991213},{-95.20905,29.809821},{-95.153374,29.819853}}
2	{{-97.090412,36.68145},{-97.088884,36.673551},{-97.084839,36.671885},{-97.083354,36.668299},{-97.065458,36.658941},{-97.061555,36.658896},{-97.016876,36.645747},{-97.000717,36.641553},{-96.992255,36.636776},{-96.942474,36.626425},{-96.929523,36.623114},{-96.919116,36.619896},{-96.908666,36.617269},{-96.902677,36.616997},{-96.897935,36.614519},{-96.854601,36.599557},{-96.827978,36.589812},{-96.804325,36.57969},{-96.802528,36.579232},{-96.77877,36.569227},{-96.763591,36.568149},{-96.749849,36.563563},{-96.737126,36.555411},{-96.725089,36.542086},{-96.718741,36.535756},{-96.711613,36.535756},{-96.688725,36.527814},{-96.678472,36.521392},{-96.653569,36.507968},{-96.64494,36.502327},{-96.62754,36.491785},{-96.616658,36.484585},{-96.600853,36.474818},{-96.595768,36.471012},{-96.575754,36.457879},{-96.548686,36.442046},{-96.529515,36.429566},{-96.525148,36.424827},{-96.516309,36.42129},{-96.493459,36.406211},{-96.492236,36.404889},{-96.478098,36.394805},{-96.476584,36.392741},{-96.469965,36.387823},{-96.468155,36.387373},{-96.428624,36.367454},{-96.425953,36.366766},{-96.412698,36.359891},{-96.388897,36.348071},{-96.362218,36.333547},{-96.348271,36.325254},{-96.337869,36.316503},{-96.325551,36.308447},{-96.308014,36.297728},{-96.290656,36.287694},{-96.268651,36.274376},{-96.265033,36.271397},{-96.215565,36.249466},{-96.197087,36.236597},{-96.19284,36.232836},{-96.177576,36.221763},{-96.174273,36.22035},{-96.161017,36.210067},{-96.160805,36.209038},{-96.145938,36.197177},{-96.142478,36.192889},{-96.136344,36.187461},{-96.126604,36.187447},{-96.117972,36.183947},{-96.105932,36.183363},{-96.100412,36.180751},{-96.095004,36.173057},{-96.093186,36.167491},{-96.089401,36.1634},{-96.085464,36.156624},{-96.08242,36.155793},{-96.082837,36.148291},{-96.0656,36.148117},{-96.064981,36.141676},{-96.055581,36.141768},{-96.053002,36.137259},{-96.046104,36.137109},{-96.038363,36.140165},{-96.024825,36.13904},{-96.024763,36.134985},{-96.02183,36.134848},{-96.020645,36.129936},{-96.020536,36.122746},{-96.014179,36.116683},{-96.010554,36.116157},{-96.009557,36.118823},{-95.999352,36.118965},{-95.997331,36.116832},{-95.999244,36.11177},{-95.995979,36.091539},{-95.99403,36.087112},{-95.993604,36.078858},{-95.993855,36.06032},{-95.994053,36.017316},{-95.997232,36.014416},{-95.996252,36.010381},{-95.993415,36.006466},{-95.993628,35.988593},{-95.984015,35.988129},{-95.978399,35.985545},{-95.976345,35.981318},{-95.96828,35.981328},{-95.964076,35.977948},{-95.959701,35.977035},{-95.957542,35.974097},{-95.954152,35.974224},{-95.954078,35.970301},{-95.949209,35.970265},{-95.948972,35.966482},{-95.931993,35.966606},{-95.925085,35.966281},{-95.922029,35.963283},{-95.91571,35.963405},{-95.91122,35.964759},{-95.902899,35.959464},{-95.89792,35.955428},{-95.891158,35.955156},{-95.885056,35.959685},{-95.873936,35.957542},{-95.864469,35.95729},{-95.864345,35.962767},{-95.841374,35.962768},{-95.824776,35.962175},{-95.822859,35.963092},{-95.803456,35.962943},{-95.802822,35.966425},{-95.792335,35.966235},{-95.786444,35.96315},{-95.774722,35.963829},{-95.77476,35.973463},{-95.766518,35.973527},{-95.764337,35.97704},{-95.764218,35.981215},{-95.74251,35.98979},{-95.70963,36.002314},{-95.703773,36.004217},{-95.6981,36.007878},{-95.683931,36.008148},{-95.681499,36.010098},{-95.681483,36.059943},{-95.680533,36.070787},{-95.675,36.108065},{-95.672272,36.114421},{-95.672355,36.11677},{-95.656836,36.124205},{-95.652226,36.125979},{-95.646009,36.130111},{-95.605956,36.152694},{-95.59315,36.160424},{-95.569008,36.174375},{-95.550197,36.184365},{-95.526341,36.197457},{-95.509031,36.206323},{-95.495468,36.214113},{-95.481931,36.228401},{-95.421809,36.280864},{-95.418028,36.285982},{-95.408855,36.292174},{-95.403321,36.29911},{-95.395052,36.305825},{-95.392929,36.309591},{-95.390477,36.309532},{-95.36409,36.330303},{-95.346012,36.341528},{-95.344207,36.343784},{-95.306405,36.377992},{-95.294124,36.386167},{-95.285739,36.39021},{-95.252254,36.418764},{-95.234922,36.432314},{-95.197854,36.459568},{-95.189792,36.466206},{-95.169999,36.481152},{-95.144459,36.500027},{-95.138598,36.504706},{-95.1347,36.513017},{-95.118522,36.524687},{-95.104093,36.535484},{-95.089033,36.549516},{-95.064122,36.56853},{-95.03143,36.593078},{-95.00634,36.612492},{-94.983552,36.626735},{-94.948313,36.654841},{-94.9408,36.6572},{-94.935704,36.665275},{-94.919361,36.679124},{-94.901838,36.690684},{-94.894149,36.696316},{-94.883019,36.70535},{-94.879652,36.710117},{-94.877047,36.710164},{-94.854148,36.728691},{-94.835991,36.740673},{-94.821898,36.752102},{-94.801261,36.766774},{-94.788325,36.766336},{-94.761802,36.77415},{-94.736329,36.782347},{-94.732915,36.781236},{-94.722381,36.783944},{-94.72049,36.785524},{-94.720587,36.791309},{-94.716286,36.791305},{-94.716182,36.798927},{-94.707918,36.801217},{-94.707901,36.806723},{-94.711313,36.814819},{-94.711841,36.821616},{-94.707006,36.826591},{-94.701198,36.830631},{-94.676578,36.84426},{-94.643525,36.866247},{-94.625887,36.878814},{-94.599801,36.895595},{-94.588735,36.899856},{-94.555588,36.914228},{-94.545903,36.917637},{-94.531122,36.923968},{-94.525216,36.927144},{-94.505808,36.93207},{-94.479589,36.939264},{-94.474731,36.939657},{-94.464945,36.939107},{-94.44881,36.939429},{-94.44195,36.938926},{-94.431152,36.940773},{-94.422601,36.941348},{-94.416408,36.943578},{-94.412338,36.946504},{-94.407514,36.948062},{-94.387754,36.949516},{-94.380988,36.950802},{-94.371099,36.953588},{-94.366593,36.953668},{-94.357822,36.956319},{-94.352184,36.958972},{-94.335531,36.965425},{-94.325991,36.967594},{-94.301531,36.976429},{-94.280188,36.986118},{-94.26477,36.992222},{-94.25434,36.996801},{-94.236595,37.001744},{-94.196176,37.016835},{-94.182396,37.020552},{-94.16927,37.025907},{-94.14901,37.033548},{-94.13517,37.039416},{-94.107375,37.048614},{-94.096879,37.052497},{-94.083734,37.056707},{-94.067818,37.062897},{-94.052225,37.067997},{-94.040923,37.073377},{-94.030856,37.077206},{-94.02811,37.080035},{-94.023173,37.079896},{-94.011623,37.083257},{-93.988855,37.088339},{-93.980261,37.091989},{-93.973004,37.093582},{-93.956464,37.09586},{-93.937481,37.100292},{-93.905807,37.1095},{-93.901814,37.111304},{-93.892939,37.118515},{-93.888947,37.124245},{-93.850948,37.145529},{-93.843409,37.15078},{-93.823745,37.163149},{-93.806802,37.171458},{-93.786429,37.185338},{-93.781826,37.189024}}
3	{{-97.090618,36.681488},{-97.0909,36.68068},{-97.092605,36.680652},{-97.094586,36.679033},{-97.096669,36.678522},{-97.101191,36.678186},{-97.101139,36.673386},{-97.101405,36.671463},{-97.106675,36.666875},{-97.112207,36.661591},{-97.121206,36.657284},{-97.129847,36.654895},{-97.130106,36.65462},{-97.138395,36.652235},{-97.147788,36.652203},{-97.156165,36.652288},{-97.164091,36.646967},{-97.16953,36.644391},{-97.170636,36.643387},{-97.174754,36.641648},{-97.188415,36.635203},{-97.189115,36.634727},{-97.194974,36.632133},{-97.213989,36.623152},{-97.218641,36.62014},{-97.230152,36.614735},{-97.238986,36.611106},{-97.247251,36.607513},{-97.249926,36.606562},{-97.25103,36.605722},{-97.262447,36.600302},{-97.265367,36.599902},{-97.26532,36.571902},{-97.272515,36.548173},{-97.279824,36.525084},{-97.282194,36.518083},{-97.282659,36.515643},{-97.283352,36.515422},{-97.289181,36.488924},{-97.293717,36.473642},{-97.299482,36.466863},{-97.300865,36.463848},{-97.303114,36.454423},{-97.304286,36.449074},{-97.308768,36.420669},{-97.311391,36.40364},{-97.312067,36.400013},{-97.312959,36.393744},{-97.31565,36.376762},{-97.317715,36.36958},{-97.323049,36.351766},{-97.326494,36.340596},{-97.326656,36.336359},{-97.327931,36.335813},{-97.328961,36.327143},{-97.33021,36.320346},{-97.330783,36.318558},{-97.336127,36.311654},{-97.337305,36.310715},{-97.337303,36.308595},{-97.339571,36.305235},{-97.339647,36.302488},{-97.342921,36.300253},{-97.352563,36.286019},{-97.354062,36.283964},{-97.354217,36.281556},{-97.354729,36.281249},{-97.366665,36.257522},{-97.369788,36.251076},{-97.369993,36.239454},{-97.369882,36.235404},{-97.369436,36.229724},{-97.369588,36.226212},{-97.368601,36.221322},{-97.36905,36.220446},{-97.369184,36.217533},{-97.369826,36.210459},{-97.369979,36.205713},{-97.369842,36.203009},{-97.369932,36.196933},{-97.370814,36.193515},{-97.370245,36.191894},{-97.370529,36.188696},{-97.369935,36.185583},{-97.369735,36.181317},{-97.370445,36.175214},{-97.369839,36.16775},{-97.369105,36.165364},{-97.369027,36.161377},{-97.369322,36.15967},{-97.37086,36.15761},{-97.371122,36.156342},{-97.370204,36.154453},{-97.370175,36.151539},{-97.37053,36.150659},{-97.370184,36.146319},{-97.371449,36.142333},{-97.371371,36.132243},{-97.370843,36.130541},{-97.37145,36.12783},{-97.371453,36.116092},{-97.371601,36.098152},{-97.371548,36.094311},{-97.370012,36.084306},{-97.369345,36.081476},{-97.370201,36.077911},{-97.371111,36.072515},{-97.371937,36.058675},{-97.371862,36.055564},{-97.371335,36.049331},{-97.371729,36.046903},{-97.371618,36.037005},{-97.3717,36.030352},{-97.37161,36.02553},{-97.371763,36.021923},{-97.371476,36.017931},{-97.371721,36.014534},{-97.371719,35.998948},{-97.371644,35.993802},{-97.371154,35.992068},{-97.364525,35.978829},{-97.366383,35.976679},{-97.368867,35.972745},{-97.37164,35.967077},{-97.371723,35.950751},{-97.371576,35.9438},{-97.371774,35.937689},{-97.37028,35.933835},{-97.371817,35.929547},{-97.371666,35.922435},{-97.371773,35.92013},{-97.371734,35.909231},{-97.371866,35.90168},{-97.37172,35.897907},{-97.371821,35.883198},{-97.37218,35.882543},{-97.372268,35.875595},{-97.372184,35.861436},{-97.370121,35.858474},{-97.369304,35.847616},{-97.371809,35.842556},{-97.371683,35.835835},{-97.37133,35.834533},{-97.371646,35.827504},{-97.371661,35.816632},{-97.372681,35.814411},{-97.379392,35.764545},{-97.378041,35.728514},{-97.378084,35.727851},{-97.381675,35.701855},{-97.382214,35.698538},{-97.386898,35.683862},{-97.388814,35.678633},{-97.388742,35.673101},{-97.391788,35.668231},{-97.394401,35.660383},{-97.397681,35.653016},{-97.404688,35.631588},{-97.406619,35.619939},{-97.408158,35.619881},{-97.409178,35.619085},{-97.409929,35.614936},{-97.412121,35.610488},{-97.412703,35.608116},{-97.410475,35.605298},{-97.409369,35.603324},{-97.408841,35.601415},{-97.411118,35.588382},{-97.414724,35.574551},{-97.423848,35.527384},{-97.427019,35.516007},{-97.429786,35.503702},{-97.432002,35.496791},{-97.432232,35.491863},{-97.433047,35.490724},{-97.432487,35.489723},{-97.434329,35.487757},{-97.432205,35.484585},{-97.432535,35.478201}}
4	{{-101.362158,35.698572},{-101.357552,35.767534},{-101.37282,35.782389},{-101.337083,35.821503},{-101.315195,35.8714},{-101.278695,35.930993},{-101.27686,35.942271},{-101.227646,35.991066},{-101.160021,36.045501},{-101.120945,36.073003},{-101.042888,36.11917},{-100.869353,36.198816},{-100.797615,36.229993},{-100.777106,36.246955},{-100.705283,36.272338},{-100.614308,36.316765},{-100.542094,36.350059},{-100.214391,36.497029},{-100.01553,36.586626},{-99.990517,36.60096},{-99.932144,36.626409},{-99.884113,36.651899},{-99.846581,36.6667},{-99.742751,36.714513},{-99.711627,36.723416},{-99.566474,36.791379},{-99.532817,36.804492},{-99.433509,36.848459},{-99.372323,36.872347},{-99.330837,36.892392},{-99.253083,36.923229},{-99.21585,36.950349},{-99.174449,36.966375},{-99.024584,37.030736},{-98.965695,37.048271},{-98.901842,37.074182},{-98.815823,37.116653},{-98.757661,37.139304},{-98.697826,37.167588},{-98.669912,37.176596},{-98.553801,37.235248},{-98.491284,37.261738},{-98.472752,37.266709},{-98.386001,37.306769},{-98.350972,37.325344},{-98.308887,37.339358},{-98.195275,37.38639},{-98.075462,37.43268},{-97.96629,37.480552},{-97.59981,37.628583},{-97.506957,37.671594},{-97.402629,37.715623},{-97.307564,37.758912}}
5	{{-97.307519,37.758917},{-97.263649,37.77862},{-97.183062,37.799058},{-97.118061,37.821175},{-97.085633,37.828314},{-97.026985,37.847038},{-96.916243,37.875597},{-96.873239,37.8921},{-96.794303,37.911863},{-96.718386,37.941671},{-96.628831,37.96749},{-96.563169,37.993341},{-96.538786,37.996169},{-96.452559,38.025681},{-96.258667,38.10248},{-96.232911,38.108331},{-96.154586,38.139673},{-95.970497,38.189905},{-95.828751,38.193232},{-95.791945,38.218296},{-95.76995,38.219193},{-95.770582,38.232968},{-95.755578,38.244316},{-95.755056,38.259592},{-95.741364,38.270714},{-95.657972,38.282191},{-95.585897,38.30615},{-95.542254,38.316785},{-95.419635,38.365058},{-95.325079,38.38695},{-95.222411,38.424119},{-95.087414,38.466849},{-95.047768,38.462856},{-94.985293,38.466521},{-94.949571,38.475469},{-94.886005,38.507496}}
6	{{-94.885985,38.507486},{-94.828945,38.523137},{-94.803127,38.537202},{-94.668922,38.598827},{-94.590833,38.618285},{-94.433547,38.665885},{-94.358494,38.692226},{-94.267092,38.688111},{-94.214745,38.677441},{-94.126524,38.671596},{-94.0956,38.666082},{-94.031376,38.662382},{-94.004309,38.654633},{-93.90126,38.651657},{-93.857937,38.647181},{-93.738845,38.641494},{-93.650281,38.640736},{-93.64112,38.638306},{-93.537923,38.637074},{-93.38516,38.630703},{-93.349442,38.626197},{-93.180004,38.622737},{-93.007828,38.597359},{-92.990968,38.588612},{-92.946777,38.580357},{-92.734944,38.577626},{-92.586785,38.572209},{-92.486781,38.567065},{-92.406833,38.566892},{-92.277891,38.549346},{-92.122243,38.544569},{-92.07775,38.538053},{-92.037631,38.525424},{-91.940129,38.522676},{-91.761719,38.524776},{-91.72569,38.528934},{-91.536648,38.52414},{-91.484355,38.519027},{-91.431682,38.518066},{-91.394803,38.511017},{-91.341647,38.516364},{-91.319496,38.514748},{-91.29137,38.503621},{-91.212,38.504286},{-91.180086,38.498009},{-91.099981,38.495797},{-91.041023,38.507794},{-90.982766,38.505742},{-90.84037,38.490484},{-90.807366,38.482877},{-90.778131,38.481849},{-90.746681,38.4923},{-90.714789,38.509195},{-90.684008,38.500449},{-90.633423,38.505579},{-90.614999,38.497538},{-90.562573,38.507031},{-90.520296,38.497165},{-90.465007,38.501545},{-90.349742,38.498942},{-90.286234,38.501087},{-90.268362,38.519783},{-90.246771,38.519264},{-90.225328,38.549011},{-90.206902,38.553544},{-90.188219,38.581896}}
7	{{-93.423655,37.158349},{-93.607763,37.159584},{-93.683943,37.160962},{-93.745762,37.173975},{-93.782125,37.193798},{-93.946121,37.225456},{-94.053227,37.253301},{-94.11769,37.26346},{-94.30181,37.314122},{-94.304684,37.314194},{-94.408888,37.35703},{-94.538069,37.40355},{-94.580801,37.40536},{-94.580836,37.408304},{-94.617268,37.42606},{-94.679528,37.498398},{-94.686799,37.498797},{-94.686761,37.511285},{-94.726265,37.511927},{-95.073897,37.67446},{-95.087863,37.680409},{-95.186648,37.732799},{-95.325792,37.797444}}
8	{{-96.149587,36.599588},{-96.126108,36.641571},{-96.119848,36.694179},{-96.062753,36.737414},{-96.000656,36.847015},{-95.980066,36.884553},{-95.982767,36.941938},{-95.954036,36.971451},{-95.91756,36.974744},{-95.902127,36.999241},{-95.781721,37.172981},{-95.639997,37.352999},{-95.625779,37.384334},{-95.525412,37.526261},{-95.471841,37.601899},{-95.402047,37.671957},{-95.364524,37.733007},{-95.325896,37.796811},{-95.182411,38.037749},{-95.076668,38.177184},{-95.038857,38.243024},{-94.975978,38.322177},{-94.941258,38.389117},{-94.868371,38.502642},{-94.827989,38.595324},{-94.74697,38.705379},{-94.745298,38.738255},{-94.747213,38.965694},{-94.735593,39.043852},{-94.746445,39.067829},{-94.739751,39.082239},{-94.709442,39.10227},{-94.675193,39.156119},{-94.652216,39.150487},{-94.615301,39.156134},{-94.592313,39.149871},{-94.604203,39.128532}}
9	{{-97.018637,37.043261},{-97.022554,37.044922},{-97.022581,37.047431},{-97.027671,37.052469},{-97.026507,37.059245},{-97.022942,37.064007},{-97.02279,37.070346},{-97.023391,37.091948},{-97.02639,37.092354},{-97.028408,37.094243},{-97.028743,37.097008},{-97.032303,37.099514},{-97.036499,37.105867},{-97.0381,37.107185},{-97.042137,37.115794},{-97.046072,37.118593},{-97.047387,37.122274},{-97.06591,37.150221},{-97.075495,37.165191},{-97.077151,37.169042},{-97.080057,37.172408},{-97.089619,37.187417},{-97.092597,37.196239},{-97.095616,37.199852},{-97.101986,37.215954},{-97.103737,37.223342},{-97.112898,37.245174},{-97.114605,37.248204},{-97.128508,37.281371},{-97.132945,37.287126},{-97.145598,37.316522},{-97.147459,37.320291},{-97.150352,37.322299},{-97.154876,37.327191},{-97.154095,37.347228},{-97.15639,37.353823},{-97.158837,37.365609},{-97.160405,37.367266},{-97.167972,37.390975},{-97.172395,37.398335},{-97.179723,37.406623},{-97.186309,37.413299},{-97.186474,37.416863},{-97.185488,37.422419},{-97.186811,37.424234},{-97.186395,37.457988},{-97.186732,37.474859},{-97.188456,37.482912},{-97.189808,37.486449},{-97.189549,37.536263},{-97.189427,37.573409},{-97.189644,37.591925},{-97.189672,37.635454},{-97.190058,37.642784},{-97.198996,37.642978},{-97.205825,37.64814},{-97.206432,37.649898},{-97.242764,37.649893},{-97.242906,37.64946}}
10	{{-97.091088,36.682085},{-97.094721,36.680943},{-97.103379,36.681213},{-97.103383,36.69329},{-97.110923,36.692799},{-97.117867,36.694005},{-97.118474,36.695206},{-97.118172,36.705562},{-97.115857,36.71287},{-97.112684,36.716625},{-97.11271,36.736663},{-97.10815,36.736382},{-97.103166,36.738174},{-97.103259,36.754075},{-97.102761,36.759872},{-97.09591,36.769075},{-97.082766,36.781777},{-97.07215,36.793905},{-97.072112,36.796366},{-97.068966,36.799461},{-97.066948,36.799711},{-97.059132,36.808352},{-97.053346,36.817131},{-97.043621,36.826096},{-97.033463,36.838335},{-97.032735,36.84219},{-97.031854,36.855196},{-97.033983,36.86578},{-97.034606,36.87106},{-97.034039,36.878273},{-97.031704,36.882463},{-97.031433,36.933743},{-97.032702,36.936728},{-97.032443,36.942729},{-97.030702,36.944685},{-97.030355,36.952785},{-97.025541,36.959473},{-97.025719,36.966633},{-97.028203,36.971261},{-97.026444,36.977487},{-97.030053,36.98726},{-97.030046,36.997524},{-97.026928,37.006843},{-97.026727,37.015129},{-97.025036,37.021341},{-97.022694,37.025382},{-97.022886,37.029073},{-97.021753,37.032714},{-97.021866,37.035877},{-97.019005,37.037111},{-97.018629,37.043254}}
