locationId,locationName,locationType,companyOwner,companyOperator,operationalStatus,products,pipelineConnections,locationNameAlternative,processingCapacity,transportationCapacity,activeTerminalingCapacity,storageCapacity,accessPipeline,accessRail,accessTruck,accessMarine,truckBayCount,grossRackCapacity,tankCount,NGLLPGStorage,butaneBlending,biodieselBlending,latitude,longitude,fax,name,cell,phone,role,email,locationOperatorId,timsId,locationIdSAP,locationIdETRM,terminalControlNumber,triFacilityId,city,state,zip,line1,line2
532,East St. Louis,Terminal,"Phillips 66 Partners, LP",Phillips 66 Company,Operational,,"[u'Gold', u' Explorer', u' Buckeye', u' Marathon']",,,,78000,2085000,,Yes,Yes,No,6,,19,Yes,Yes,No,38.582,-90.1882,,,,(618) 337-6066,,,23,1777,,,T-37-IL-3366,,Cahokia,IL,62206,3300 Mississippi Avenue,
571,Pleasant Hill,Terminal,"Phillips 66 Partners, LP",Phillips 66 Company,Operational,,[u'Heartland'],Des Moines,,,,,,,,,,,,,,,41.5686,-93.5271,,Weston Newell,,(515) 262-5454,Terminal Contact,,,1995,,,T-42-IA-3470,,Pleasant Hill,IA,50327,4500 Vandalia Road,
594,West Tulsa,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Refined Products']",[u'MPL Central'],Tulsa,,0,,2600000,In,No,Out,No,,,,,,,36.1329,-96.031,(918) 574-7598,Jeff Selvidge,,(918) 574-7478,Terminal Contact,jeff.selvidge@magellanlp.com,295,2467,03NC,W TULSA OK MMP TTERM,T-73-OK-2622,,Tulsa,OK,74107,2120 South 33rd West Avenue,
544,Hartford BPL,Terminal,"Buckeye Partners, LP","Buckeye Terminals, LLC",Operational,"[u'Gasoline', u' ULSD', u' Ethanol']","[u'Husky', u' Explorer', u' Wood River']",,,,,585000,Both,No,Both,No,,,,,,,38.8335,-90.0901,,,,(618) 255-1100,,,,,,,T-37-IL-3356,,Hartford,IL,62048,220 East Hawthorne Street,
514,Bettendorf MPL,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,,[u'Magellan'],,,,,170000,In,No,Out,In,,,7,,,,41.5321,-90.4695,(563) 355-0962,Matthew Stevenson,,(563) 355-2931,,matthew.stevenson@magellanlp.com,347,17764,03AH,BETTENDORF IA MMP TTERM,T-42-IA-3471,,Riverdale,IA,52722,312 South Bellingham Street,
515,Bettendorf BPL,Terminal,"Buckeye Partners, LP","Buckeye Terminals, LLC",Operational,"[u'Gasoline', u' ULSD', u' Ethanol']",[u'Magellan'],,,,,237400,Yes,No,Yes,Yes,,,,,,,41.5253,-90.4894,,,,(563) 529-4023,,kboslett@buckeye.com,,,,,T-42-IA-3450,,Bettendorf,IA,52722,75 South 31st Street,
518,Carthage,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Ethanol', u' Propane', u' Refined Products']",[u'Magellan'],,,0,,100000,In,No,Out,No,,,,,,,37.3136,-94.3043,(417) 394-3140,,,(417) 394-2700,,,227,1737,03A8,JASPER MO MMP TTERM,T-43-MO-3707,,Carthage,MO,64755,18195 Country Road 138,
521,Columbia,Terminal,Magellan Midstream Partners LP,"Magellan Pipeline Company, LP",Operational,"[u'Biodiesel', u' Ethanol', u' Refined Products']",[u'Magellan'],,,0,,300000,In,No,Out,No,,,,,,,38.8862,-92.2655,(573) 449-1192,,,(573) 443-1619,,,204,1926,034T,COLUMBIA MO MMP TTERM,T-43-MO-3708,,Columbia,MO,65201,5531 Hwy 63 South,
522,Columbus,Terminal,"NuStar Energy, LP","NuStar Logistics, LP",Operational,"[u'Gasolines', u' Fuel Oils', u' Ethanol']",[u'NuStar East'],,,0,,171000,In,No,Both,No,2,,9,,,,41.4374,-97.2446,(402) 564-8889,Bruce Myers,,(402) 564-3332,Terminal Contact,bruce.myers@nustarenergy.com,156,2001,034Y,COLUMBUS NE KA TTERM,T-47-NE-3600,,Columbus,NE,68601,147 Road D,
523,Concordia,Terminal,"NuStar Energy, LP","NuStar Logistics, LP",Operational,"[u'Gasolines', u' Fuel Oils', u' Ethanol']",[u'NuStar East'],,,0,,79000,In,No,Both,No,2,,6,,,,39.364,-97.6284,(785) 243-7186,Tracy Wallick,,(785) 243-2771,Terminal Contact,tracy.wallick@nustarenergy.com,,1698,,,T-48-KS-3652,,Delphos,KS,67436,1612 Deer Road - US HWY 24,
524,Council Bluffs BEP,Terminal,"Buckeye Partners, LP","Buckeye Terminals, LLC",Operational,"[u'Ethanol', u' Gasoline', u' Low Sulfur Diesel', u' Refined Products', u' Ultra Low Sulfur Diesel']","[u'Buckeye V System', u' Heartland']",,,0,,544000,In,No,Out,No,,,,,,,41.214,-95.832,,Scott Newhard,,(712) 366-9461,Terminal Contact,kboslett@buckeye.com,,21523,,,T-42-IA-3454,,Council Bluffs,IA,51503,829 Tank Farm Road,
