id,name,city,contact_email,contact_fax,contact_name,contact_phone,contact_role,latitude,longitude,operational,rack_capacity,state,storage_capacity,street,operator_id,owner_id,terminaling_capacity,truck_bays,type,zip,pipeline_access,rail_access,truck_access,marine_access,irs_motor_fuel_terminal_id
1,Abbeville,Abbeville,,,,,,29.839555,-92.165915,TRUE,,LA,,24823 LA Hwy 333,43,43,,,terminal,70510,,,,,T-72-LA-2413
2,Aberdeen NUS,Aberdeen,terry.mcdonald@nustarenergy.com,6052254529,Terry McDonald,6052254090,Terminal Contact,45.575481,-98.515221,TRUE,,SD,176000,Hwy 281,6,6,,2,terminal,57401,in,none,both,none,T-46-SD-3550
3,Aberdeen,Aberdeen,,,,,,33.847638,-88.514694,TRUE,,MS,,20096 Norm Connell Drive,224,224,,,terminal,39730,,,,,T-72-MS-2422
4,Aberdeen,Aberdeen,,,,,,35.143,-79.4504,TRUE,,NC,, ,22,22,,,terminal,28315,,,,,0
5,Abernathy,Abernathy,robbie.fowler@nustarenergy.com,8067572397,Robbie Fowler,8067572395,Terminal Contact,33.875757,-101.869419,TRUE,,TX,160000,1315 Farm to Market 54,6,6,,2,terminal,79311,in,none,out,none,T-75-TX-2650
6,Abilene,Abilene,,,,,,32.542408,-99.770393,TRUE,,TX,,Hwy 277 N Industrial District,42,42,,,terminal,79601,,,,,T-75-TX-2652
7,Adak,Adak,,,,,,51.829438,-176.629994,TRUE,,AK,,Adak,217,217,,,terminal,99546,,,,,T-91-AK-4541
8,Agana,Ordot,,,,,,13.373,144.6986,TRUE,,GU,, ,220,220,,,terminal,96924,,,,,0
9,Akron,Akron,,,,,,41.098698,-81.488242,TRUE,,OH,,999 Home Avenue,5,5,,,terminal,44310,,,,,T-34-OH-3159
10,Alamogordo,Alamogordo,,,Leland Bain,575-437-7500,Terminal Manager,32.81402,-105.976692,TRUE,,NM,120210,6026 Hwy 54 South,58,58,,,terminal,88310,in,,both,,T-85-NM-4259
11,Albany BPL,Albany,,,,,,42.616834,-73.763601,TRUE,,NY,,301 Normanskill St.,197,197,,,terminal,12202,,,,,T-14-NY-1401
12,Albany,Albany,,,,,,42.642404,-73.752146,TRUE,,NY,,50 Church Street,20,20,,,terminal,12202,,,,,T-14-NY-1403
13,Albany KMI,Albany,,,,,,31.549249,-84.198057,TRUE,,GA,93000,1603 W Oakridge Dr,4,469,,,terminal,31721,in,,,,T-58-GA-2500
14,Albany TMP,Albany,,,,2294354014,,31.580305,-84.183494,TRUE,,GA,203000,1162 Gillionville Road,8,8,,3,terminal,31707,,,,,T-58-GA-2502
15,Albany,Albany,,,,,,31.4974,-84.1155,TRUE,,GA,, ,53,53,,,terminal,31705,,,,,0
16,Albemarle,Albemarle,,,,,,35.3833,-80.1964,TRUE,,NC,, ,154,154,,,terminal,28001,,,,,0
17,Albuquerque,Albuquerque,,,,,,35.04599,-106.646985,TRUE,,NM,,3200 Broadway SE within city,65,65,,,terminal,87105,,,,,T-85-NM-4251
18,Albuquerque,Albuquerque,,,,,,35.04663,-106.647188,TRUE,,NM,,3209 Broadway Southeast,48,48,,,terminal,87105,,,,,T-85-NM-4255
19,Albuquerque,Albuquerque,,,,,,35.036535,-106.621883,TRUE,,NM,,3531 Access Road C SE,15,15,,,terminal,87106,,,,,T-85-NM-4261
20,Albuquerque,Albuquerque,,,,,,35.1296,-106.631,TRUE,,NM,, ,83,83,,,terminal,87107,,,,,0
21,Albuquerque NUS,Albuquerque,larry.nelson@nustarenergy.com,5058770680,Larry Nelson,5058779210,Terminal Contact,34.9915,-106.658,TRUE,,NM,245000,6348 State Road 303 SW,6,476,,3,terminal,87105,in,none,both,none,T-85-NM-4253
22,Albuquerque P66,Albuquerque,,,,,,34.9914,-106.66,TRUE,,NM,244000,6356 Desert Road SE,7,475,,3,terminal,87105,in,,both,,T-85-NM-4254
23,Alexandria,West Alexandria,,3207622538,,3207621193,,45.893533,-95.387723,TRUE,,MN,,709 3rd Avenue,2,2,,,terminal,56308,,,,,T-41-MN-3412
24,Algo,Louisville,,,,,,38.2325,-85.8297,TRUE,,KY,, ,3,3,,,terminal,40211,,,,,0
25,Algona Asphalt,Algona,,,,515-295-2883,,43.0768,-94.2168,TRUE,,IA,,832 North Main,14,14,,,terminal,50511,,,,,0
26,Allentown,Allentown,,,,,,40.628767,-75.431294,TRUE,,PA,,1134 North Quebec Street,28,28,,,terminal,18103,,,,,T-23-PA-1701
27,Allentown,Allentown,,,,,,40.6287,-75.4312,TRUE,,PA,, ,37,37,,,terminal,18103,,,,,0
28,Alma,Alma,,,,,,31.5494,-82.5361,TRUE,,GA,, ,53,53,,,terminal,31510,,,,,0
29,Alto,Alto,,,,,,42.8562,-85.3706,TRUE,,MI,, ,50,50,,,terminal,49302,,,,,0
30,Altoona,Altoona,,,,,,40.462134,-78.430538,TRUE,,PA,,Burns Avenue,28,28,,,terminal,16601,,,,,T-25-PA-1767
31,Altoona,Altoona,,,,,,40.508219,-78.382635,TRUE,,PA,,6033 Sixth Avenue,21,21,,,terminal,16602,,,,,T-25-PA-1785
32,Altoona,Altoona,,,,,,40.489433,-78.349874,TRUE,,PA,,Route 764 Sugar Run Road,5,5,,,terminal,16601,,,,,T-25-PA-1788
33,Altoona,Altoona,,,,,,40.4671,-78.4264,TRUE,,PA,, ,49,49,,,terminal,16602,,,,,0
